Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841891,14.8313194,15.53361392
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33431075,74.23410411,80.28805103
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.92583275,5.6645999,6.19891882,6.0557785,5.83303022,5.6859889,5.70842791,5.50962448,5.7276206,6.23899555,6.11952829,6.09262609,6.27234411,6.44164276,6.48361206,6.66606188,6.54604626,6.65958786,..,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,73.78868103,78.99415588,111.4618835,141.9128113,154.8753204,168.4197846,204.8018494,240.4433899,235.3989716,255.4131012,271.9571838,259.5267639,277.5770264,295.4507446,256.1264038,274.4385986,295.9950867,350.8345642,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.83787704,3.7300415,3.60104108,3.5440731,3.23516107,3.35510349,3.82141757,4.20188284,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60749817,6.27938414,6.16302586,6.25170851,6.32117987
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,67.33850098,66.94760132,76.23547363,93.02433014,101.3037338,117.433136,151.7792053,207.8488159,208.9350128,230.0639191,288.313324,336.6726685,333.1602783,361.1594238,292.9165955,262.1321716,259.6488648,257.8498535,250.5607758,214.8517914
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
